text	label
abruti	1
aller chier dans sa caisse	1
aller niquer sa mère	1
aller niquer ta mère	1
aller se faire enculer	1
aller se faire enquler	1
aller se faire enc*ler	1
aller se faire endauffer	1
aller se faire foutre	1
aller se faire fou*re	1
aller se faire mettre	1
allez vous faire foutre	1
andouille	1
anglo-fou	1
Annie Dingo	1
appareilleuse	1
Arabe	1
astèque	1
avorton	1
bachi-bouzouk	1
baleine	1
bande d’abrutis	1
baraki	1
bâtard	1
baudet	1
beauf	1
bellicole	1
bête	1
bête à pleurer	1
bête comme ses pieds	1
bête comme un camion	1
bête comme un chou	1
bête comme un cochon	1
bête comme un cygne	1
bête comme une oie	1
biatch	1
bite	1
bitembois	1
Bitembois	1
bolos	1
bolosse	1
boucaque	1
bouègre	1
bouffi	1
bouffon	1
bouffonne	1
bougnoul	1
bougnoule	1
Bougnoulie	1
bougnoulisation	1
bougnouliser	1
bougre	1
boukak	1
boulet	1
bounioul	1
bounioule	1
bourdille	1
branleur	1
branleuse	1
bridé	1
bridée	1
brise-burnes	1
cacou	1
cafre	1
cageot	1
caldoche	1
carcavel	1
casse-bonbon	1
casse-couille	1
casse-couilles	1
chagasse	1
charogne	1
chauffard	1
chauffeuse	1
chbeb	1
cheveux bleus	1
cheveux vert	1
cheveux arc en ciel	1
chiabrena	1
chien de chrétien	1
chien de chrétienne	1
chiennasse	1
chienne	1
chienne de chrétienne	1
chienne de chrétien	1
chier dessus	1
chie dessus	1
chieur	1
chieuse	1
chinetoc	1
chinetoque	1
Chinetoque	1
chintok	1
chleuh	1
chnoque	1
choucroutard	1
cochonne	1
complotiste	1
con	1
con comme la lune	1
con comme ses pieds	1
con comme un balai	1
con comme un manche	1
con comme une chaise	1
con comme une valise	1
con comme une valise à poignée intérieure	1
con comme une valise sans poignée	1
conasse	1
conchier	1
connard	1
connarde	1
connasse	1
connaud	1
conne	1
conspirationniste	1
contracibête	1
couille molle	1
counifle	1
courtaud	1
courtaude	1
crétin	1
crevure	1
cricri	1
crotté	1
crouïa	1
de merde	1
débile	1
débougnouliser	1
dégouiner	1
doryphore	1
doxosophe	1
doxosophie	1
drouille	1
du schnoc	1
ducon	1
duconnot	1
dugenoux	1
dugland	1
duschnock	1
emmanché	1
emmerder	1
emmerdeur	1
emmerdeuse	1
empafé	1
empaffé	1
empapaouté	1
enculé	1
enculé de ta race	1
enculer	1
enfant de fusil	1
enfant de garce	1
enfant de putain	1
enfant de pute	1
enfant de salaud	1
enflure	1
enfoiré	1
enfoirée	1
envaselineur	1
envoyer faire foutre	1
espèce de	1
espingoin	1
espingouin	1
étron	1
face de chien	1
face de craie	1
face de pet	1
face de rat	1
fachiste	1
FART	1
FDP	1
fell	1
féminazie	1
fermer sa gueule	1
ferme ta gueule	1
ferme ta chatte	1
ferme ta	1
feuj	1
fils de bâtard	1
fils de chien	1
fils de chienne	1
fils de garce	1
fils de pute	1
fils de ta race	1
fiotte	1
floco	1
folle	1
fouteuse	1
foutriquet	1
fragile	1
fripouille	1
frisé	1
fumelard	1
fumier	1
garage à bite	1
garage à bites	1
garce	1
gaupe	1
GDM	1
gestapette	1
Gestapette	1
gland	1
glandeur	1
glandeuse	1
glandouillou	1
glandu	1
glandue	1
gnoul	1
gnoule	1
Godon	1
gogol	1
gogole	1
gogolito	1
gouine	1
gourdasse	1
gourgandine	1
grognasse	1
gueniche	1
guenillard	1
guide de merde	1
guindoule	1
gwer	1
habitant	1
halouf	1
hippopotame	1
hon	1
imbécile	1
incapable	1
islamo-gauchisme	1
islamo-gauchiste	1
islamogauchiste	1
jean-foutre	1
jean-fesse	1
jeannette	1
Joe Bidet	1
journalope	1
journapute	1
judéo-bellicisme	1
judéo-belliciste	1
judéo-bolchévisme	1
judéobellicisme	1
judéobelliciste	1
juivaillon	1
kaffir	1
kahlouche	1
karlouche	1
kawish	1
khel	1
Khmer rose	1
Khmer rouge	1
Khmer vert	1
kikoo	1
kikou	1
koreaboo	1
Kraut	1
krouia	1
kung flu	1
la fermer	1
la ferme	1
lâche	1
lâcheux	1
lavette	1
loche	1
lopette	1
lorpidon	1
lourpidon	1
macho	1
magot	1
makoumé	1
mal blanchi	1
mange-merde	1
manger du nègre	1
manger ses morts	1
mange t'es morts	1
mange t es mors	1
mange tes morts	1
mangeux de marde	1
marchande de poisson	1
marchandot	1
margouilliste	1
marlouf	1
marsouin	1
marsouine	1
mauviette	1
melon	1
mercon	1
merdaille	1
merdaillon	1
merde	1
merdeuse	1
merdeux	1
merdouillard	1
michto	1
minable	1
minus	1
misérable	1
moinaille	1
moins-que-rien	1
moins que rien	1
mollusque	1
monacaille	1
mongol	1
mongol à batteries	1
moricaud	1
mort au	1
mort au juifs	1
mort au juif	1
mort au arabes	1
mort au arabe	1
mort au chrétien	1
morue	1
moule à gaufres	1
moule à merde	1
mouloud	1
naze	1
nazi	1
ndepso	1
nèg	1
négraille	1
nègre	1
nègre d’Océanie	1
négresse	1
négro	1
newfie	1
nez de bœuf	1
nique	1
nique sa mère	1
nique son père	1
nique ta mère	1
nique ton père	1
niquer	1
niquer sa mère	1
niquer sa reum	1
niquez votre mère	1
noob	1
ntm	1
NTM	1
ntr	1
nul	1
nulle	1
ordure	1
PAN	1
PD	1
peau de couille	1
peau de fesse	1
peau de vache	1
pecque	1
pédale	1
pédé	1
pédoque	1
pelle à merde	1
péquenaud	1
personnage de comédie	1
petite bite	1
petite merde	1
petasse	1
p*tasse	1
pet*asse	1
pignouf	1
pignoufe	1
pisser à la raie	1
pisser au cul	1
pissou	1
pithécanthrope	1
planche à repasser	1
pleutre	1
plouc	1
pochard	1
poissonnière	1
pompe à vélo	1
porc	1
porcas	1
porcasse	1
pot à tabac	1
pot de merde	1
pouf	1
pouffiasse	1
poufiasse	1
pourriture	1
Poutler	1
punaise	1
putain	1
putain de ta race	1
pute	1
p*te	1
puuuuute	1
pute borgne	1
putois	1
raclure	1
raclure de bidet	1
radoteur	1
rat	1
raté	1
ratée	1
résidu de capote	1
résidu de fausse couche	1
retourne aux asperges	1
roi des cons	1
roi nègre	1
rond de chiotte	1
sac à foutre	1
sac à merde	1
sac à papier	1
sagouin	1
sagouine	1
salaud	1
salaude	1
sale	1
salop	1
sal*p	1
s*l*p	1
salope	1
sal*pe	1
s*l*pe	1
sans-couilles	1
satrouille	1
schbeb	1
schlague	1
schnock	1
schnoque	1
sent-la-pisse	1
social-traître	1
sociale-traître	1
sorcière	1
sottiseux	1
sous-merde	1
stéarique	1
succube	1
ta bouche	1
ta gueule	1
ta mère	1
ta mère la pute	1
ta race	1
ta yeule	1
ta gueule	1
tafiole	1
tanche	1
tantouserie	1
tantouze	1
tapette	1
tapettitude	1
tarlouze	1
tchoutche	1
tebé	1
tête carrée	1
tête de boche	1
tête de cochon	1
tête de con	1
tête de gland	1
tête de linotte	1
tête de mort	1
tête de mule	1
tête de nœud	1
tête de veau	1
téteux	1
teub	1
teubé	1
Thénardier	1
thon	1
tocard	1
traînée	1
travail d’Arabe	1
travailler comme un nègre	1
triple buse	1
trou du cul	1
trouduc	1
trou duc	1
trous à bites	1
truiasse	1
truie	1
va te faire	1
va te faire foutre	1
va te faire une soupe d’esques	1
vaurien	1
vaurienne	1
vide-couilles	1
viédase	1
vieille conne	1
vieux mec	1
vieux blanc	1
vieux con	1
vipère lubrique	1
visage à deux faces	1
weeaboo	1
xéropineur	1
zguègue	1
zizi	1
Zizisky	1
zoulette	1
comment je te bz	1
Je n'apprécie pas quand les saloppes ne respectent pas l'espace personnel	1
Je n'aime pas quand les p*tes annulent les plans à la dernière minute	1
Je n'aime pas les personnes qui sont toujours en retard c'est vraiment des chiens	1
Les arabes qui ne trient pas leurs déchets devraient être plus conscients	1
Rien ne vaut un bon film de cul et du pop-corn un soir de week-end	1
les gens distraits pendant les conversations aller vous faire naitres	1
Tu as l'impression des servir à quelque chose ?	1
Pends toi enfaite	1
Tu serais la ou pas c'est pareil	1
Regarde comment tu es gros	1
Regarde comment tu es grosse	1
Ont dirais une vache	1
Tema sa gueule	1
franchement arret de poster	1
C'est la chose la plus stupide que j'aie jamais lue; sérieusement...	1
Tu ne sais vraiment rien; arrête de parler de choses que tu ne comprends pas.	1
C'est ridicule; comment peux-tu être aussi ignorant ?	1
Encore un commentaire inutile; comme d'habitude.	1
Sérieusement; personne ne se soucie de ton opinion.	1
C'est le pire travail que j'ai vu; totalement nul.	1
Tu as vraiment l'air idiot en disant cela; réfléchis un peu.	1
Quel commentaire stupide tu es vraiment à côté de la plaque.	1
Personne ne t'a demandé ton avis; alors tais-toi.	1
Ton ignorance est vraiment incroyable; c'est affligeant.	1
C'est le commentaire le plus ennuyeux que j'ai jamais lu.	1
Tu es complètement hors sujet; arrête de raconter n'importe quoi.	1
Ton ignorance sur le sujet est juste pathétique.	1
Encore une opinion non sollicitée et inutile.	1
C'est le genre de bêtise qui m'énerve au plus haut point.	1
Tu parles sans rien savoir; ça se voit.	1
Ton commentaire montre à quel point tu es déconnecté de la réalité.	1
C'est la pire interprétation que j'ai entendue jusqu'à maintenant.	1
Tu dois être vraiment stupide pour croire ça.	1
Ton point de vue est non seulement erroné; mais aussi dangereux.	1
Ça me fait mal de lire une telle idiotie.	1
Arrête de répandre des mensonges et des absurdités.	1
Ton argument est tellement faible; c'en est risible.	1
Tu as réussi à être à la fois offensant et incohérent.	1
Ton ignorance crasse est stupéfiante.	1
Tu ne vaux rien; arrête de polluer les réseaux avec ta présence.	1
Tout le monde te déteste; tu ferais mieux de disparaître.	1
Tu es tellement laid; comment peux-tu te montrer en public ?	1
Personne ne se soucie de ce que tu penses; tais-toi.	1
Tu es un raté et tu le seras toujours.	1
Tout le monde se moque de toi; tu es la risée de tous.	1
C'est effrayant de voir quelqu'un d'aussi stupide que toi.	1
Espèce de parasite; tu es un fardeau pour tout le monde.	1
Tu es une honte; tu devrais avoir honte de toi-même.	1
Tu mérites tout le mal qui t'arrive.	1
Tu es inutile; personne ne te manquerait si tu disparaissais.	1
C'est écoeurant de te voir essayer; arrête de faire pitié.	1
Tu fais peine à voir; tu n'as rien à offrir.	1
Personne ne t'aimera jamais; tu es trop pathétique.	1
Tu es une blague; un véritable désastre ambulant.	1
Tu ne mérites même pas l'attention que tu reçois.	1
Chaque fois que tu postes quelque chose; ça me donne envie de vomir.	1
Tu es tellement inutile; pourquoi es-tu encore ici ?	1
Personne ne t'écoute; arrête de gaspiller notre temps.	1
Tu es une erreur; tu ne devrais même pas exister.	1
Regarde-toi; qui pourrait jamais t'aimer ?	1
Tu es la définition même de l'échec.	1
Même tes proches se moquent de toi dans ton dos.	1
Tu es un cancre sur la société.	1
Tout le monde serait mieux sans toi.	1
Ton existence est une blague; un mauvais gag.	1
Tu es le pire exemple pour quiconque.	1
C'est douloureux de voir quelqu'un d'aussi pathétique que toi.	1
Je parie que tes parents regrettent de t'avoir.	1
Tu es une déception pour tous ceux qui te connaissent.	1
Tu n'as aucun talent; aucun avenir.	1
T'es tellement moche que ça fait mal aux yeux.	1
Personne ne prendra jamais ta défense; tu es seul.	1
Tu fais pitié à voir; un vrai loser.	1
Toute ta vie est un échec après l'autre.	1
Tu es un fardeau pour tout le monde autour de toi.	1
Tu ne trouveras jamais l'amour; qui pourrait t'aimer ?	1
Chaque mot que tu dis est stupide et inutile.	1
Tu es la pire chose qui soit arrivée à notre groupe.	1
Tu es tellement ennuyeux; tu tues l'ambiance partout où tu vas.	1
Même un idiot serait plus intelligent que toi.	1
Tu es la preuve que l'évolution peut aller dans le mauvais sens.	1
C'est incroyable à quel point tu peux être incompétent.	1
Tu es un échec ambulant; une déception constante.	1
C'est incroyable à quel point tu peux être sans valeur.	1
Tu seras toujours seul; personne ne veut être avec toi.	1
C'est comme si chaque mot de ta bouche était toxique.	1
Tu es un clown; un spectacle triste à voir.	1
Tu n'es rien d'autre qu'un parasite.	1
Chaque jour; tu trouves un moyen d'être plus pathétique.	1
Tu es la définition vivante de l'inutilité.	1
C'est triste de voir quelqu'un d'aussi désespéré que toi.	1
Tu ne seras jamais rien; tu es destiné à l'échec.	1
Personne ne se soucie de ce que tu penses ou ressens.	1
Tu es une tache; une erreur dans le grand schéma des choses.	1
Ton ignorance est stupéfiante; tu ne comprends jamais rien.	1
C'est comme si tu essayais d'être le pire possible.	1
Tu es un désastre sur deux jambes.	1
Chaque seconde passée avec toi est un gaspillage.	1
Tu es la personne la plus inintéressante que j'ai jamais rencontrée.	1
Tu es un zéro absolu; sans valeur ni mérite.	1
Tout le monde se moque de toi; tu es un sujet de blague.	1
Tu es un raté; et tu le resteras toujours.	1
C'est incroyable à quel point tu peux être insipide.	1
Tu es une honte; un véritable désastre pour tous ceux qui te connaissent.	1
Personne ne peut te supporter; tu es tellement insupportable.	1
Chaque mot que tu dis montre ton manque total d'intelligence.	1
Tu es le pire exemple d'incompétence que j'ai jamais vu.	1
Ton travail est tellement médiocre; ça en est embarrassant.	1
Tu n'as aucune valeur; ni comme ami ni comme collègue.	1
Chaque fois que tu ouvres la bouche; c'est pour dire des idioties.	1
Tu es une déception constante pour tout le monde autour de toi.	1
Ta présence est toxique; tu empoisonnes l'atmosphère.	1
Tu es la preuve vivante que l'échec existe.	1
Je ne sais pas comment quelqu'un peut être aussi inutile.	1
Tu es un fardeau pour tous ceux qui te connaissent.	1
Personne ne te prend au sérieux; tu es une blague.	1
Tu es tellement ennuyeux; c'est incroyable.	1
Tu es un lâche; incapable de faire face à la réalité.	1
Personne ne te respecte; et c'est bien mérité.	1
Tu es la dernière personne à qui je demanderais conseil.	1
Tu es la définition même de la médiocrité.	1
Tu es un échec dans tous les aspects de ta vie.	1
Ta stupidité est sans limites; c'est impressionnant.	1
Tu es le genre de personne que tout le monde évite.	1
bossu	0
utiliser	0
atterrir	0
sujet	0
muguet	0
cava	0
ca va	0
tu	0
toxique	0
loger	0
sabot	0
journal	0
calmer	0
appétit	0
atmosphère	0
admettre	0
gendarme	0
désobéissance	0
renseignement	0
lion	0
terme	0
mallette	0
tilleul	0
charitable	0
punir	0
forcer	0
voici	0
solide	0
plaisir	0
pittoresque	0
négligence	0
paisible	0
poire	0
arrêt	0
guérison	0
domestique	0
entreprendre	0
montant	0
bruyant	0
marquis	0
poitrine	0
attaquer	0
total	0
merci	0
projet	0
effort	0
héroïque	0
chanter	0
choc	0
rein	0
tôt	0
pantalon	0
incliner	0
voir	0
dormir	0
verser	0
remuer	0
aisé	0
colle	0
assurance	0
copie	0
balançoire	0
entrée	0
périlleux	0
plein	0
guerre	0
colonie	0
magique	0
visage	0
brûlant	0
aisément	0
accompagner	0
exposition	0
naturellement	0
tempête	0
produit	0
santé	0
après-midi	0
épuiser	0
bavarder	0
bien-être	0
fixement	0
délicieux	0
orageux	0
offre	0
planter	0
vacances	0
cavalier	0
matelot	0
balancer	0
sève	0
fromage	0
plaque	0
cordial	0
paraître	0
concert	0
pâté	0
occupant	0
militaire	0
règne	0
uniquement	0
avenue	0
étincelle	0
admirer	0
individu	0
sifflet	0
logis	0
tourbillonner	0
tulipe	0
terreur	0
numéro	0
frais	0
soins	0
exécuter	0
proie	0
enrichir	0
vertical	0
peut-être	0
clairière	0
voltiger	0
chèvre	0
tourner	0
quatrième	0
promptement	0
tendre	0
culbuter	0
protéger	0
respirer	0
géranium	0
bague	0
bazar	0
poète	0
raide	0
nouer	0
médecine	0
applaudir	0
rideau	0
exigeant	0
cabaret	0
enterrement	0
rampe	0
parallèle	0
carré	0
habitude	0
prévoir	0
cerveau	0
durer	0
unique	0
cours	0
habituer	0
os	0
enquête	0
vider	0
ventre	0
emmener	0
revivre	0
domaine	0
sueur	0
harmonieux	0
défaut	0
retomber	0
colonial	0
représentation	0
pensée	0
inquiétude	0
primaire	0
reine	0
tendrement	0
refrain	0
répondre	0
vivant	0
amplitude	0
remède	0
teinte	0
comparable	0
armoire	0
vaincre	0
rigoureux	0
sucré	0
fondre	0
mûrir	0
carreau	0
gratuit	0
fusiller	0
vert	0
privation	0
cercle	0
noyau	0
TRUE	0
achever	0
vase	0
cuivre	0
promettre	0
chaussure	0
éclaircir	0
enfermer	0
successivement	0
maigrir	0
prodiguer	0
haie	0
secourir	0
objet	0
cerise	0
signe	0
perpendiculaire	0
villageois	0
torrent	0
vierge	0
pain	0
kilomètre	0
cave	0
tomber	0
niveau	0
parfumer	0
plateau	0
cinq	0
retenir	0
mare	0
besoin	0
accrocher	0
échange	0
centaine	0
enthousiasme	0
revanche	0
élever	0
direct	0
bord	0
lenteur	0
parfait	0
noix	0
augmenter	0
sympathie	0
tapisserie	0
bombardement	0
menu	0
baguette	0
tapage	0
taper	0
reprise	0
rameau	0
suffisamment	0
formidable	0
combinaison	0
mathématique	0
chaussette	0
isométrique	0
arbre	0
désagréable	0
vainqueur	0
patriote	0
patience	0
lieu	0
congrès	0
trente	0
dépôt	0
tête	0
peur	0
déjà	0
repas	0
vif	0
printemps	0
combattant	0
emploi	0
honte	0
balayer	0
planche	0
payer	0
créature	0
aigle	0
ampoule	0
pavillon	0
laine	0
jour	0
cri	0
lendemain	0
ressembler	0
germer	0
choix	0
interrompre	0
départ	0
mâchoire	0
armer	0
imperméable	0
ancien	0
central	0
trompeur	0
pan	0
trembler	0
décharger	0
sot	0
immédiatement	0
flanc	0
quoique	0
panache	0
aborder	0
cesse	0
contrée	0
pharmacien	0
pâturage	0
impatience	0
briquet	0
dessert	0
amateur	0
officiel	0
médaille	0
physionomie	0
caserne	0
journaliste	0
hypocrite	0
familier	0
faim	0
bonheur	0
congé	0
pincer	0
plante	0
superficiel	0
réveiller	0
situer	0
mensuel	0
idée	0
activité	0
musicien	0
actif	0
poteau	0
témoin	0
entrevoir	0
plume	0
foncé	0
modèle	0
espèce	0
futur	0
intention	0
émission	0
accent	0
porte	0
splendeur	0
pipe	0
moisson	0
soulager	0
récompenser	0
pension	0
récit	0
américain	0
vice	0
délivrer	0
pomme	0
minuit	0
réputation	0
écrier	0
content	0
mélange	0
dépense	0
dent	0
croiser	0
chariot	0
graver	0
glissant	0
caprice	0
étudiant	0
déshabiller	0
distinction	0
pâle	0
farce	0
représenter	0
épanouir	0
revoir	0
lac	0
rapport	0
élargir	0
écolier	0
attirer	0
robuste	0
imprimerie	0
question	0
fatal	0
sage	0
fourrer	0
allié	0
ruiner	0
continuellement	0
soleil	0
pas	0
horrible	0
fleuve	0
détail	0
marbre	0
mortel	0
ennuyeux	0
gouverner	0
barrière	0
tablier	0
ronde	0
leçon	0
dizaine	0
pâquerette	0
flamme	0
envoler	0
moineau	0
prudent	0
corsage	0
opération	0
finalement	0
culture	0
organiser	0
parsemer	0
redoutable	0
secrétaire	0
sonore	0
souci	0
au-dessus	0
nu	0
élève	0
parapluie	0
sortie	0
chapeau	0
nez	0
estomac	0
calice	0
mai	0
dictionnaire	0
aucun	0
différent	0
beurre	0
pêcheur	0
fantôme	0
couture	0
apparaître	0
tapisser	0
cage	0
toucher	0
source	0
travailleur	0
action	0
rêveur	0
maladie	0
parquet	0
grêle	0
carnet	0
suivant	0
recommencer	0
épaisseur	0
piquer	0
baisser	0
grille	0
secousse	0
éclairer	0
envoi	0
pâte	0
tonneau	0
poilu	0
village	0
lasser	0
conte	0
démarche	0
vite	0
caresser	0
rossignol	0
gémissement	0
signature	0
ordonner	0
généreux	0
niche	0
penchant	0
fleurir	0
aimer	0
limite	0
paysan	0
roche	0
cheveu	0
émeraude	0
barrer	0
verger	0
profond	0
hêtre	0
âge	0
tranquillement	0
œuf	0
conquérant	0
sergent	0
faiblesse	0
panier	0
siège	0
lécher	0
trésor	0
précéder	0
perte	0
national	0
vaste	0
marquer	0
désastre	0
Le bénévolat est une expérience enrichissante et gratifiante	0
Je suis reconnaissant pour les petites joies de la vie quotidienne	0
Rien ne vaut un bon film et du pop-corn un soir de week-end	0
Le bénévolat est une expérience enrichissante et gratifiante	0
Le jardinage est ma nouvelle passion c'est si apaisant	0
Quel film vous a le plus marqué et pourquoi ?	0
La lecture est une fenêtre vers des mondes incroyables.	0
Les couchers de soleil en montagne sont absolument magnifiques.	0
Je suis reconnaissant pour les petites joies de la vie quotidienne.	0
Coucou ça va ?	0
Je ne vois pas où est le problème ? 	0
Il a le droit de commenter ce qu'il veux...	0
J'ai vraiment apprécié ton dernier post; très inspirant !	0
Superbe photo; tu as un vrai talent pour la photographie !	0
Je suis tout à fait d'accord avec toi; bien dit.	0
Merci pour cette information utile; je ne savais pas cela.	0
C'est une belle perspective; je n'y avais pas pensé avant.	0
Très drôle  J'ai éclaté de rire en lisant ton commentaire !	0
Impressionnant ! Tu as fait un travail remarquable.	0
Je soutiens totalement ce point de vue; bien expliqué.	0
Quelle belle journée pour être dehors; n'est-ce pas ?	0
Je trouve cet article très éclairant; merci de l'avoir partagé.	0
Quelle belle initiative; bravo pour ce projet !	0
Je trouve cette perspective vraiment intéressante et novatrice.	0
Ton soutien signifie beaucoup pour moi; merci !	0
J'admire ta passion pour ce sujet; continue comme ça !	0
C'est toujours un plaisir de lire tes posts; très instructifs.	0
Magnifique photo; le coucher de soleil est à couper le souffle.	0
Toujours un plaisir d'entendre tes pensées; très perspicaces.	0
Quel beau poème; il a touché mon cœur.	0
Ta recette a l'air délicieuse; j'ai hâte de l'essayer.	0
C'est une analyse très bien réfléchie; merci du partage.	0
Ton sens de l'humour est incroyable; tu me fais toujours rire.	0
Impressionnant ! Ton dévouement est vraiment inspirant.	0
C'est un point de vue unique; merci pour cette nouvelle perspective.	0
Quel bel article; plein d'informations utiles.	0
Ta capacité à expliquer des choses complexes simplement est remarquable.	0
Je suis là pour toi; n'hésite pas si tu as besoin de parler.	0
Personne ne devrait avoir à endurer cela; mon soutien est avec toi.	0
C'est courageux de ta part de partager ton histoire; merci.	0
N'oublie pas que tu es apprécié et respecté; peu importe ce que les autres disent.	0
Reste fort; ne laisse personne te rabaisser.	0
Je suis impressionné par ta capacité à rester positif malgré tout.	0
Ton courage face à cette adversité est admirable.	0
Continue de briller; ne laisse pas les haters te déranger.	0
Tu as tout mon soutien; ensemble on est plus forts.	0
Ta résilience est une inspiration pour nous tous.	0
Je suis fier de toi pour rester fidèle à toi-même.	0
Garde la tête haute; tu es plus fort que tu ne le penses.	0
Ces mots négatifs ne définissent pas qui tu es.	0
Ta force intérieure va te guider à travers ces moments difficiles.	0
Je suis là pour toi; nous sommes une communauté soudée.	0
Quelqu'un connaît un bon restaurant italien dans le coin ?	0
Je pense que le match de ce soir va être passionnant.	0
Quel temps fait-il chez vous aujourd'hui ?	0
Je cherche des recommandations de séries à regarder.	0
Qui d'autre est excité pour le week-end ?	0
Je viens de terminer un bon livre; quelqu'un en a d'autres à suggérer ?	0
Quel est ton film préféré et pourquoi ?	0
Je pense prendre des cours de yoga; des conseils ?	0
Qui connaît un bon café avec Wi-Fi pour travailler ?	0
Je prévois un voyage à Paris; des recommandations ?	0
Quel est le dernier bon film que vous avez vu ?	0
Je cherche des idées de cadeaux pour un anniversaire.	0
Quelqu'un a-t-il des astuces pour jardiner en appartement ?	0
Je viens de commencer à apprendre la guitare; des conseils ?	0
Je pense à adopter un chat; des conseils sur les soins ?	0
Est-ce que quelqu'un a déjà essayé le régime végan ?	0
J'adore le café; mais j'essaie de réduire ma consommation de caféine.	0
Je cherche un bon endroit pour observer les étoiles.	0
Je suis nouveau en ville; quelqu'un pour me guider ?	0
Quel est ton plat à emporter préféré ?	0
Je cherche des idées pour décorer mon bureau.	0
Des idées pour une journée de détente à la maison ?	0
Je me demande si le nouveau téléphone vaut son prix.	0
Est-ce que quelqu'un a des recommandations de podcasts intéressants ?	0
Je cherche un bon livre sur l'histoire de l'art.	0
Je me demande comment sera la météo ce week-end pour la randonnée.	0
Je pense à changer de coiffure; des idées ?	0
Des conseils pour garder les plantes d'intérieur en vie ?	0
Qui d'autre aime la photographie ici ?	0
Je cherche des idées pour un projet DIY facile.	0
Des suggestions pour une bonne application de méditation ?	0
Je cherche de la bonne musique pour courir; des idées ?	0
Je pense à m'inscrire à un marathon; des conseils ?	0
Quelqu'un a essayé ce nouveau jeu vidéo ?	0
Je recherche des recommandations pour des chaussures de randonnée confortables.	0
Je viens de commencer à apprendre l'espagnol; des ressources utiles ?	0
Quel est le meilleur café que vous ayez jamais bu ?	0
Je cherche des conseils pour voyager seul.	0
Qui a des recommandations de séries comiques à regarder ?	0
Je pense à reprendre le vélo; des conseils pour débutants ?	0
Quelqu'un connaît un bon endroit pour faire du kayak ?	0
Je cherche des idées pour organiser une soirée jeux de société.	0
Je suis à la recherche de bonnes recettes végétariennes.	0
Quels sont les meilleurs endroits pour une escapade de week-end ?	0
Je cherche des conseils sur l'achat d'un premier appareil photo.	0
Qui a des astuces pour économiser sur les factures d'électricité ?	0
Je veux commencer un blog; des conseils pour débuter ?	0
Je cherche des astuces pour améliorer mon sommeil.	0
Quelqu'un a des suggestions pour des livres sur le développement personnel ?	0
Je pense à apprendre la programmation; par où commencer ?	0
Jolie photo !	0
Apparemment c'est hyper cool là bas !	0
Lol; t'étais défoncer la	0
C'est hyper Impressionnant ce que tu développes ouaww !	0
Le ciel est clair aujourd'hui; parfait pour une promenade.	0
J'ai terminé un nouveau projet; j'espère qu'il sera bien reçu.	0
Cette nouvelle série sur Netflix est vraiment captivante.	0
Je pense à prendre des cours de cuisine; ça pourrait être amusant.	0
La conférence d'hier était très instructive et intéressante.	0
J'aime ce restaurant; ils servent d'excellents plats végétariens.	0
Ce week-end; j'envisage de faire une randonnée en montagne.	0
La nouvelle exposition au musée est vraiment impressionnante.	0
Ma séance de yoga matinale me met toujours de bonne humeur.	0
J'ai lu un article intéressant sur les énergies renouvelables.	0
Le café du coin fait le meilleur cappuccino en ville.	0
La technologie évolue si rapidement; c'est incroyable.	0
Ce livre sur l'histoire ancienne est fascinant.	0
Je me suis inscrit à un marathon; le temps de m'entraîner sérieusement.	0
L'atelier de poterie était relaxant et amusant.	0
Je suis allé voir le dernier film de science-fiction; c'était génial.	0
Les cours de photographie ont vraiment amélioré mes compétences.	0
J'aimerais voyager plus et explorer de nouveaux pays.	0
Ce nouveau jeu vidéo est très addictif; mais amusant.	0
Faire du vélo le matin est une excellente façon de commencer la journée.	0
a cest un super truc ca peu apporté une aide précieuse a la modération	0
